oracle_calls,scaffold,smiles,reward,penalized_reward,tpsa_raw_values,tpsa_reward,mw_raw_values,mw_reward,num_rings_raw_values,num_rings_reward
14,c1ccoc1,C(/C(=C/CCc1ccc(C)o1)C)(=O)NCC#C,0.0,0.0,42.24,0.10542114,231.29499999999996,1.0,1,0.0
14,O=C(NCc1ccccc1)c1ccccc1Nc1ccncn1,c1cccc(Nc2nc(N)nc(C)c2)c1C(=O)NCc1cc(F)ccc1F,0.00033444274,0.0003344427386764437,92.93,0.18216527,369.37500000000006,2.053524e-10,3,1.0
14,O=C(Nc1ccc2ncccc2c1)c1ccccc1,c1nc2ccc(NC(c3ccc(F)cc3)=O)cc2c(NCCN(C)C)c1,0.1939044,0.19390439987182617,57.260000000000005,0.12458113,352.4130000000001,0.05852086,3,1.0
14,c1cncc(-c2ccc(-c3ccc4[nH]c(-c5ccncc5)cc4c3)cc2)c1,c1c(-c2ccc(-c3cnc(N)c(C#N)c3)cc2)c(C)cc2[nH]c(-c3c(F)cncc3)cc12,0.0,0.0,91.38,0.17928292,419.4630000000001,0.0,5,1.0
14,O=C1COc2cc(C(=O)Nc3ccccc3)ccc2N1,C(c1ccc2c(c1)OCC(=O)N2)(=O)Nc1c(C)cccc1,0.5182489,0.5182489156723022,67.42999999999999,0.13919231,282.29900000000004,1.0,3,1.0
14,c1ccc(-n2cc(CN3CCN(C4CCCCC4)CC3)c3ccccc32)cc1,C1CCCC(N2CCN(Cc3cn(-c4cccc(C#N)c4)c4ccccc34)CC2)C1,0.0,0.0,35.2,0.097368725,398.5540000000002,0.0,5,1.0
14,c1ccc(CN2CCC(Cc3cccc(-c4ccccc4)c3)C2)cc1,C(C(C)C)c1ccc([C@@H](C(=O)NO)N2CC(Cc3cccc(-c4ccccc4)c3)CC2)cc1,0.0,0.0,52.57,0.118297756,442.6030000000001,0.0,4,1.0
14,O=C1c2ccccc2C(=O)N1CCCSc1nnc(-c2ccn[nH]2)n1-c1ccccc1,C(Sc1nnc(-c2cc(C)nn2C)n1-c1ccccc1C)CCN1C(=O)c2ccccc2C1=O,0.0,0.0,85.91,0.16939598,472.5740000000003,0.0,5,1.0
14,c1ccc(CN2CCNCC2)cc1,COc1cccc(CN2CC(CCO)N(CC=C(C)C)CC2)c1,0.46133924,0.46133923530578613,35.940000000000005,0.098188624,318.46100000000007,1.0,2,1.0
14,c1ccccc1,C(C)(C)[C@@H](C(=O)NCC#N)NC(=O)Nc1ccccc1,0.0,0.0,94.02000000000001,0.18421368,274.324,1.0,1,0.0
