oracle_calls,scaffold,smiles,reward,penalized_reward,quickvina2_gpu_raw_values,quickvina2_gpu_reward,qed_raw_values,qed_reward,sa_score_raw_values,sa_score_reward
16,O=C(NC(c1ccccc1)c1ccccc1)N1CCCCC1,c1ccccc1[C@@H](NC(N1C[C@@H](C(NCC(C)C)=O)CCC1)=O)c1ccccc1,0.6248731,0.6248731017112732,-7.6,0.47842667,0.7800644766227975,0.7800644766227975,2.5061348135712613,0.65377694
16,O=C1CCN([C@H]2CCC(NC3CC3)C2)CCN1,N1C(=O)CCN([C@H]2CC[C@@](C#N)(NC3CC3)C2)C[C@@H]1C,0.5123012,0.5123012065887451,-6.4,0.4145013,0.7985177089865079,0.7985177089865079,4.093484849318067,0.4062241
16,C1C[C@@H]2CN([C@H]3CCOC3)CC[NH+]2C1,OC1(C[NH3+])COC[C@H]1N1CC[NH+]2CCC[C@@H]2C1,0.28569496,0.28569495677948,-5.3,0.35827896,0.47652752165469947,0.47652752165469947,6.382958801345059,0.13658355
16,O=S(=O)(NCCc1ccccc1)c1ccccc1,O[C@@H](CNS(=O)(=O)c1cc(Cl)c(OCC)cc1)c1ccc(F)cc1,0.6331361,0.6331360936164856,-7.8,0.4892083,0.782090572667007,0.782090572667007,2.439594616168119,0.66334635
16,O=C(NCCOc1ccccc1)NC1CCN(c2ccccc2)CC1,N(C[C@H](Oc1ccc(Cl)cc1)C)C(NC1CCN(c2cccc(Cl)c2)CC1)=O,0.59778416,0.597784161567688,-7.4,0.46766508,0.7079896392201167,0.7079896392201167,2.5652731155820216,0.64516604
16,O=C(Nc1ccn[nH]1)N[C@@H]1CCCCC[C@H]1N1CC[NH2+]CC1,C1CCC[C@@H](N2CC[NH+](C)CC2)[C@H](NC(=O)Nc2n(C)nc(CC)c2)C1,0.49737123,0.49737122654914856,-7.3,0.46229494,0.6878791851827357,0.6878791851827357,4.219687193503775,0.38691065
16,c1ccccc1,C[C@H](Oc1ccc(Cl)cc1)CNC(NCC[NH3+])=O,0.5430187,0.5430186986923218,-6.1,0.39887664,0.7109586724483508,0.7109586724483508,3.093561266142042,0.5646267
16,C1CCCNCC1,C1C[C@H](CC(F)(F)F)CCCN1C(/C(=C/Cl)Cl)=O,0.52744347,0.5274434685707092,-6.4,0.4145013,0.708851093439903,0.708851093439903,3.503764650757427,0.49939802
16,C1C[C@H]2CN(Cc3nnn[nH]3)CC[NH+]2C1,C1[NH+]2[C@H](CN(Cc3n(C(C)C)nnn3)CC2)CC1,0.453976,0.45397600531578064,-6.7,0.43029994,0.7576377123715532,0.7576377123715532,4.9228288792723935,0.28698936
16,O=C1NC[C@@H](C(=O)Nc2ccccc2C[NH+]2CCCCC2)c2ccccc21,C1CCCC[NH+]1Cc1ccccc1NC(=O)[C@H]1c2c(cccc2)C(=O)N(CCCOC)C1,0.50878656,0.5087865591049194,-7.3,0.46229494,0.6252315939549161,0.6252315939549161,3.777986897682542,0.45566615
16,O=C(CCCc1nccs1)N[C@@H]1CCCNC1=O,FC(F)(F)CN1CCC[C@@H](NC(CCCc2nc(C)cs2)=O)C1=O,0.6002378,0.6002377867698669,-7.0,0.44624177,0.8444710688323812,0.8444710688323812,3.034610000783503,0.573872
16,O=C(CC[C@@H]1CCCOC1)NCc1ccccc1,C1[C@@H](CCC(N[C@@H](C)c2cc(OC(F)F)ccc2)=O)COCC1,0.61284685,0.612846851348877,-7.5,0.47304276,0.8310266162686105,0.8310266162686105,2.9598726345383373,0.5855184
16,O=C(CCc1c[nH]c2ccccc12)Nc1nc(CN2CCOCC2)cs1,C(CCc1c[nH]c2ccccc12)(=O)Nc1nc(CN2CCOCC2)cs1,0.62426966,0.6242696642875671,-8.0,0.5,0.6997161240395467,0.6997161240395467,2.209500218734391,0.6953841
16,c1cnc2ncn(Cc3noc(C4CC4)n3)c2c1,FC(F)(c1ccc2c(nc(C)n2Cc2nc(C3CC3)on2)n1)F,0.59883666,0.5988366603851318,-7.6,0.47842667,0.7406984597562806,0.7406984597562806,2.8269243883584494,0.605994
16,c1ccc(-n2cnnn2)cc1,[C@@H](C)(NC(=O)[C@@H](C)[S@](=O)c1n(-c2ccccc2)nnn1)CC,0.554266,0.5542659759521484,-6.2,0.4040637,0.8594335082886567,0.8594335082886567,3.5604538369825995,0.49033454
16,c1ccc2ccccc2c1,c1c2cccc(NC(=O)CCC)c2ccc1C,0.6485714,0.6485713720321655,-6.5,0.41974968,0.8464651758363743,0.8464651758363743,1.6298108126097866,0.76784563
32,c1ccc2c(C[NH2+]Cc3cn[nH]c3)cccc2c1,[NH2+]([C@@H](c1c2c(cccc2)ccc1)C)Cc1cn(CC)nc1,0.5537093,0.5537093281745911,-6.7,0.43029994,0.7659445444580368,0.7659445444580368,3.4056473218685523,0.5150826
32,C1CCOC1,FC(CNC(C1(C(=O)/C(C#N)=C/Cl)OCCC1)(F)F)F,0.3629717,0.362971693277359,-6.0,0.39371216,0.35323986030709553,0.35323986030709553,4.510278372842001,0.34385064
32,c1ccc(N2CCCCC2)cc1,C(NC(=O)N(C)CC(F)F)[C@H]1CN(c2cc(Cl)ccc2)CCC1,0.6314788,0.6314787864685059,-7.5,0.47304276,0.8866652665741558,0.8866652665741558,2.8636863535085766,0.60036606
